Date,text,DataSource,Polarity,SentimentScore,Sentiment
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.62,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.62,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.62,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.62,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.62,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.62,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.62,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.62,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.62,5,Very Positive
26-11-2017," TiVo Bolt Predictions dramatically improved my TV experience, Excellent",Amazon,0.62,5,Very Positive
